ID,CAR,NF
1,CIV,3.00
2,BIO,2.70
3,ELE,3.50
4,ELE,4.30
5,ELE,4.20
6,ELE,4.00
7,ELE,3.10
8,MAT,4.30
9,CIV,1.50
10,ELE,3.00
11,SIS,3.50
12,SIS,3.40
13,SIS,2.30
14,SIS,3.40
15,IND,3.50
16,SIS,4.00
17,IND,3.30
18,MAT,4.00
19,IND,2.40
20,IND,4.60
21,ELE,3.80
22,SIS,4.50
23,IND,3.80
24,MAT,4.50
25,MAT,1.70
26,CIV,1.00
27,SIS,3.80
28,MAT,4.20
29,IND,2.50
30,MAT,3.80
31,SIS,2.50
32,IND,3.10
33,SIS,3.00
34,ELE,1.10
35,IND,3.50
36,SIS,3.70
37,MAT,3.90
38,CIV,4.70
39,IND,4.70
40,CIV,1.70
41,CIV,3.10
42,IND,1.20
43,CIV,3.00
44,SIS,3.10
45,CIV,2.60
46,MAT,4.80
47,MAT,4.30
48,CIV,3.40
49,MAT,3.90
50,CIV,3.30
51,SIS,3.60
52,IND,3.20
53,CIV,4.70
54,CIV,2.30
55,CIV,3.70
56,MAT,3.50
57,CIV,1.10
58,IND,0.70
59,IND,0.80
60,CIV,2.40
61,MAT,4.40
62,CIV,3.60
63,IND,3.40
64,SIS,2.30
65,IND,4.10
66,IND,1.50
67,CIV,3.10
68,CIV,0.90
69,SIS,4.30
70,CIV,1.20
71,IND,3.20
72,IND,4.20
73,MAT,4.80
74,SIS,3.40
75,BIO,3.00
76,BIO,3.40
77,BIO,3.20
78,IND,3.70
79,BIO,3.00
80,BIO,3.00
81,IND,1.30
82,MAT,3.80
83,BIO,4.10
84,IND,3.20
85,IND,4.70
86,IND,3.00
87,IND,4.60
88,BIO,3.00
89,IND,2.40
90,MAT,4.00
91,IND,4.50
92,IND,4.40
93,BIO,3.40
94,MAT,4.20
95,BIO,3.00
96,IND,4.30
97,BIO,2.00
98,IND,3.90
99,IND,4.30
100,BIO,3.80
101,IND,3.10
102,IND,1.80
103,IND,3.10
104,IND,4.30
105,IND,3.10
106,IND,2.60
107,IND,3.10
108,BIO,4.00
109,IND,4.10
110,IND,0.00
111,IND,4.30
112,IND,3.50
113,IND,3.30
114,CIV,0.80
115,IND,3.70
116,IND,3.60
117,IND,2.40
118,IND,3.50
119,IND,4.30
120,CIV,3.10
121,ELE,4.60
122,IND,3.30
123,IND,2.20
124,IND,3.50
125,IND,4.50
126,BIO,1.20
127,CIV,2.50
128,BIO,4.40
129,IND,4.10
130,IND,0.90
131,IND,3.00
132,BIO,2.70
133,IND,2.00
134,IND,3.80
135,IND,2.10
136,CIV,2.20
137,CIV,3.20
138,CIV,2.00
139,CIV,2.20
140,CIV,2.00
141,CIV,3.60
142,CIV,2.50
143,CIV,2.30
144,CIV,2.00
145,CIV,3.10
146,CIV,2.20
147,CIV,4.00
148,CIV,3.00
149,CIV,3.60
150,CIV,2.40
151,CIV,4.10
152,CIV,3.70
153,CIV,3.00
154,IND,2.00
155,CIV,2.40
156,CIV,3.00
157,CIV,3.80
158,CIV,2.10
159,CIV,3.00
160,CIV,3.90
161,CIV,2.00
162,CIV,4.10
163,MAT,3.80
164,CIV,1.70
165,CIV,3.00
166,CIV,4.10
167,CIV,1.40
168,CIV,3.20
169,CIV,4.40
170,CIV,3.20
171,CIV,3.80
172,CIV,2.20
173,CIV,2.30
174,CIV,4.50
175,CIV,4.50
176,CIV,2.50
177,CIV,3.60
178,CIV,4.40
179,CIV,1.70
180,CIV,1.70
,,
,,3.15
